份,fèn,"part; share; portion; copy; classifier for gifts, newspaper, magazine, papers, reports, contracts etc",份,fan6,fan6,fahn,4
丰富,fēng fù,"rich; plentiful; abundant",豐富,fung1 fu3,fung1 fu3,fūng fu,4
否则,fǒu zé,"if not; otherwise; else; or else",否則,fau2 jak1,fau2 zak1,fáu jāk,4
符合,fú hé,"in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle",符合,fu4 hap6,fu4 hap6,fùh hahp,4
付款,fù kuǎn,"pay; payment",付款,fu6 fun2,fu6 fun2,fuh fún,4
复印,fù yìn,"to photocopy; to duplicate a document",複印,fuk1 yan3,fuk1 jan3,fūk yan,4
复杂,fù zá,"complicated; complex",複雜,fuk1 jaap6,fuk1 zaap6,fūk jaahp,4
富,fù,"rich; surname Fu",富,fu3,fu3,fu,4
父亲,fù qīn,"father; also pr. with light tone [fu4 qin5]; CL:个",父親,fu6 chan1,fu6 can1,fuh chān,4
负责,fù zé,"to be in charge of; to take responsibility for; to be to blame; conscientious",負責,fu6 jaak3,fu6 zaak3,fuh jaak,4
改变,gǎi biàn,"to change; to alter; to transform",改變,goi2 bin3,goi2 bin3,gói bin,4
干杯,gān bēi,"to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup",幹杯,gon3 bui1,gon3 bui1,gon būi,4
感动,gǎn dòng,"to move (sb); to touch (sb emotionally); moving",感動,gam2 dung6,gam2 dung6,gám duhng,4
感觉,gǎn jué,"to feel; to become aware of; feeling; sense; perception; CL:个",感覺,gam2 gok3,gam2 gok3,gám gok,4
感情,gǎn qíng,"feeling; emotion; sensation; likes and dislikes; deep affection for sb or sth; relationship (i.e. love affair); CL:个,种[zhong3]",感情,gam2 ching4,gam2 cing4,gám chìhng,4
感谢,gǎn xiè,"(express) thanks; gratitude; grateful; thankful; thanks",感謝,gam2 je6,gam2 ze6,gám jeh,4
敢,gǎn,"to dare; daring; (polite) may I venture",敢,gam2,gam2,gám,4
赶,gǎn,"to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until;",趕,gon2,gon2,gón,4
干,gàn,"to do (some work); to manage; to work",幹,gon3,gon3,gon,4
刚,gāng,"just; barely; exactly; hard; firm; strong",剛,gong1,gong1,gōng,4
高速公路,gāo sù gōng lù,"expressway; highway; freeway",高速公路,gou1 chuk1 gung1 lou6,gou1 cuk1 gung1 lou6,gōu chūk gūng louh,4
胳膊,gē bo,"arm; CL:只[zhi1] ,条[tiao2] ,双[shuang1]",胳膊,gaak3 bok3,gaak3 bok3,gaak bok,4
各,gè,"each; every",各,gok3,gok3,gok,4
公里,gōng lǐ,"kilometer",公裏,gung1 leui5,gung1 leoi5,gūng léuih,4
功夫,gōng fu,"skill; art; kung fu; labor; effort",功夫,gung1 fu1,gung1 fu1,gūng fū,4
工资,gōng zī,"wages; pay; CL:个,份[fen4] ,月[yue4]",工資,gung1 ji1,gung1 zi1,gūng jī,4
